locs,techs,timesteps,resource_con
N1,solar,2021-02-05 02:00:00,0.0
N1,solar,2021-02-05 04:00:00,0.0
N1,solar,2021-02-05 06:00:00,0.571584
N1,solar,2021-02-05 08:00:00,1.2893919999999999
N1,solar,2021-02-05 10:00:00,1.5067519999999999
N1,solar,2021-02-05 12:00:00,1.456208
N1,solar,2021-02-05 14:00:00,1.160848
N1,solar,2021-02-05 16:00:00,0.518752
N1,solar,2021-02-05 18:00:00,0.0
N1,solar,2021-02-05 20:00:00,0.0
N1,solar,2021-02-05 22:00:00,0.0
N1,solar,2021-02-06 00:00:00,0.0
N1,solar,2021-02-06 02:00:00,0.0
N1,solar,2021-02-06 04:00:00,0.0
N1,solar,2021-02-06 06:00:00,0.6863999999999999
N1,solar,2021-02-06 08:00:00,1.3861120000000002
N1,solar,2021-02-06 10:00:00,1.530256
N1,solar,2021-02-06 12:00:00,1.470352
N1,solar,2021-02-06 14:00:00,1.1752
N1,solar,2021-02-06 16:00:00,0.5006560000000001
N1,solar,2021-02-06 18:00:00,0.0
N1,solar,2021-02-06 20:00:00,0.0
N1,solar,2021-02-06 22:00:00,0.0
N1,solar,2021-02-07 00:00:00,0.0
N1,solar,2021-02-07 02:00:00,0.0
N1,solar,2021-02-07 04:00:00,0.0
N1,solar,2021-02-07 06:00:00,0.184288
N1,solar,2021-02-07 08:00:00,0.7754240000000001
N1,solar,2021-02-07 10:00:00,1.155232
N1,solar,2021-02-07 12:00:00,1.139008
N1,solar,2021-02-07 14:00:00,0.776048
N1,solar,2021-02-07 16:00:00,0.172432
N1,solar,2021-02-07 18:00:00,0.0
N1,solar,2021-02-07 20:00:00,0.0
N1,solar,2021-02-07 22:00:00,0.0
N1,solar,2021-02-08 00:00:00,0.0
N1,solar,2021-02-08 02:00:00,0.0
N1,solar,2021-02-08 04:00:00,0.0
N1,solar,2021-02-08 06:00:00,0.09152
N1,solar,2021-02-08 08:00:00,0.539344
N1,solar,2021-02-08 10:00:00,0.906048
N1,solar,2021-02-08 12:00:00,0.926432
N1,solar,2021-02-08 14:00:00,0.588848
N1,solar,2021-02-08 16:00:00,0.134784
N1,solar,2021-02-08 18:00:00,0.0
N1,solar,2021-02-08 20:00:00,0.0
N1,solar,2021-02-08 22:00:00,0.0
N1,solar,2021-02-09 00:00:00,0.0
N1,solar,2021-02-09 02:00:00,0.0
N1,solar,2021-02-09 04:00:00,0.0
N1,solar,2021-02-09 06:00:00,0.22318400000000002
N1,solar,2021-02-09 08:00:00,0.9746880000000001
N1,solar,2021-02-09 10:00:00,1.239888
N1,solar,2021-02-09 12:00:00,1.179984
N1,solar,2021-02-09 14:00:00,0.8756800000000001
